Scenario	Replication	[CycleTime].SampleAverage/1[min]		[LastPatientMonday].SampleAverage		Overtime		[LastPatientTuesday].SampleAverage		Overtime		[LastPatientWednesday].SampleAverage		Overtime		[LastPatientThursday].SampleAverage		Overtime		[LastPatientFriday].SampleAverage		Overtime		[TransportToLab].WorkingTime/[TransportToLab].TotalTime		[FillForm].WorkingTime/[FillForm].TotalTime		[TakeX-ray].WorkingTime/[TakeX-ray].TotalTime		[DevelopX-Ray].WorkingTime/[DevelopX-Ray].TotalTime		[Inspection].WorkingTime/[Inspection].TotalTime		[TransportToWard].WorkingTime/[TransportToWard].TotalTime		[Orderly1].WorkingTime/[Orderly1].TotalTime		[Orderly2].WorkingTime/[Orderly2].TotalTime		[Orderly3].WorkingTime/[Orderly3].TotalTime		[Orderly4].WorkingTime/[Orderly4].TotalTime		[X-RayTech1].WorkingTime/[X-RayTech1].TotalTime		[X-RayTech2].WorkingTime/[X-RayTech2].TotalTime		[X-RayTech3].WorkingTime/[X-RayTech3].TotalTime		[X-RayTech4].WorkingTime/[X-RayTech4].TotalTime		[X-RayTech5].WorkingTime/[X-RayTech5].TotalTime		[X-RayTech6].WorkingTime/[X-RayTech6].TotalTime		[X-RayRoom1].WorkingTime/[X-RayRoom1].TotalTime		[X-RayRoom2].WorkingTime/[X-RayRoom2].TotalTime		[X-RayRoom3].WorkingTime/[X-RayRoom3].TotalTime		[X-RayRoom4].WorkingTime/[X-RayRoom4].TotalTime		[DRTech1].WorkingTime/[DRTech1].TotalTime		[DRTech2].WorkingTime/[DRTech2].TotalTime		[DRTech3].WorkingTime/[DRTech3].TotalTime		[DRTech4].WorkingTime/[DRTech4].TotalTime		[DRTech5].WorkingTime/[DRTech5].TotalTime		[DarkRoom1].WorkingTime/[DarkRoom1].TotalTime		[DarkRoom2].WorkingTime/[DarkRoom2].TotalTime		[DarkRoom3].WorkingTime/[DarkRoom3].TotalTime		[DarkRoom4].WorkingTime/[DarkRoom4].TotalTime		[InMonday].SampleAverage		[InTuesday].SampleAverage		[InWednesday].SampleAverage		[InThursday].SampleAverage		[InFriday].SampleAverage		[OutMonday].SampleAverage		[OutTuesday].SampleAverage		[OutWednesday].SampleAverage		[OutThursday].SampleAverage		[OutFriday].SampleAverage		[TransportLabQueue].QueueLengthAverage		[WaitingArea].QueueLengthAverage		[WaitingX-Ray].QueueLengthAverage		[WaitingDevelop].QueueLengthAverage		[InspectionQueue].QueueLengthAverage		[ReturnQueue].QueueLengthAverage		[AvgQueueLength].Value		([TransportLabQueue].AverageQueueTime+[WaitingArea].AverageQueueTime+[WaitingX-Ray].AverageQueueTime+[WaitingDevelop].AverageQueueTime+[InspectionQueue].AverageQueueTime+[ReturnQueue].AverageQueueTime)/1[min]		[PatientEnterPhysiciansOffice].NumberAdded	
1	16	126.5254418		923.5024903		203.5024903		2258.522896		98.52289557		3824.717365		224.7173645		5168.488337		128.4883369		6614.459663		134.4596634		0.488392237		0.400142701		0.557127824		0.574497921		0.288287295		0.518178504		0.563081265		0.565750661		0.541795957		0.536627573		0.438320024		0.434623747		0.435692638		0.430269573		0.442010114		0.436296984		0.429406932		0.430877917		0.425140309		0.429043346		0.480846817		0.482519561		0.470067859		0.466237024		0.474703836		0.513264483		0.509295794		0.515487762		0.515855556		4.0625		3.4375		4.291666667		3.5		3.479166667		4.0625		3.4375		4.291666667		3.5		3.479166667		4.600892564		0.047340991		0.22633162		2.009425368		0.132031177		2.011592142		8.895582685		67.57092871		896	
1	17	111.9197014		826.6921228		106.6921228		2254.445286		94.44528598		3790.744854		190.7448543		5139.48405		99.48405005		6593.803186		113.8031856		0.480430595		0.39758937		0.532029632		0.543675125		0.272572319		0.49908579		0.56035638		0.545065757		0.527770112		0.520960436		0.417154901		0.422422383		0.416421019		0.421611684		0.426196542		0.415567805		0.409348201		0.415805512		0.40679571		0.414960201		0.439918345		0.451245999		0.44401476		0.457441754		0.448754182		0.485130872		0.482838584		0.488511552		0.484151527		3.645833333		3.645833333		3.875		3.666666667		3.625		3.645833333		3.645833333		3.875		3.666666667		3.625		3.435505224		0.041951877		0.267827791		1.148879213		0.127021906		2.19556581		7.089729915		56.01964505		881	
1	18	140.542587		847.0032066		127.0032066		2379.470809		219.4708086		3737.476334		137.4763339		5313.446318		273.4463178		6732.449629		252.4496288		0.517861706		0.432087167		0.585908364		0.605655355		0.318114223		0.548149382		0.607649966		0.597158541		0.582018731		0.558242554		0.47474207		0.474211046		0.472658641		0.461417775		0.469597393		0.471071236		0.46617124		0.46515221		0.463384606		0.469232528		0.503068423		0.503934092		0.503533924		0.505917269		0.507546322		0.541354008		0.549894765		0.542600962		0.54552016		3.854166667		4.0625		3.520833333		4.291666667		4.020833333		3.854166667		4.0625		3.520833333		4.291666667		4.020833333		6.397019464		0.072344278		0.489145168		2.833623689		0.165793428		1.285326808		11.07745941		78.52993395		943	
1	19	121.3377678		871.0945829		151.0945829		2268.83634		108.8363397		3878.658527		278.6585272		5213.85123		173.8512298		6629.757437		149.7574366		0.491339393		0.412321654		0.559140185		0.573451641		0.302557815		0.528542746		0.584984121		0.573915807		0.539112099		0.528494224		0.44446321		0.444532096		0.442244221		0.444658232		0.442180536		0.444514525		0.438927441		0.432557847		0.435075003		0.431291707		0.486720942		0.479947305		0.482377223		0.485282106		0.473542165		0.522611453		0.521324623		0.51609974		0.51647357		3.375		3.770833333		4.020833333		3.854166667		3.979166667		3.375		3.770833333		4.020833333		3.854166667		3.979166667		3.759951642		0.052184046		0.249861301		2.035140837		0.13954704		2.235857194		8.33299502		62.12269767		907	
1	20	111.242697		828.1815668		108.1815668		2313.086998		153.0869977		3766.512742		166.5127416		5214.432956		174.4329564		6587.353287		107.3532866		0.49067677		0.402055884		0.547232674		0.552721005		0.276780787		0.514309407		0.565059645		0.530240866		0.530422859		0.523575138		0.436530435		0.432867145		0.43491942		0.436214167		0.430669196		0.432321868		0.434241341		0.434161495		0.428069545		0.427159748		0.466600742		0.458151945		0.447150989		0.467931506		0.445097437		0.500380306		0.497410889		0.490713601		0.490284633		3.145833333		4.020833333		3.854166667		3.895833333		3.604166667		3.145833333		4.020833333		3.854166667		3.895833333		3.604166667		3.658148218		0.033571665		0.238159618		1.0638145		0.110732362		1.947972842		6.941666843		54.49600635		884	
1	21	131.1573887		906.0270942		186.0270942		2287.244667		127.244667		3746.956946		146.956946		5140.419471		100.4194711		6737.890295		257.8902952		0.502056417		0.413600926		0.563148185		0.573259797		0.285010056		0.524767838		0.593432711		0.568208694		0.550978179		0.542066644		0.434182218		0.439894724		0.441242108		0.439865202		0.449319773		0.433436077		0.434572434		0.435587912		0.433194725		0.429420893		0.473107408		0.470559756		0.466272153		0.474581813		0.469944359		0.517728486		0.506322472		0.511042334		0.508075318		4.125		3.666666667		3.416666667		3.6875		4.354166667		4.125		3.666666667		3.416666667		3.6875		4.354166667		5.560929091		0.044182968		0.22423373		1.726539475		0.128157676		2.277382518		9.833267782		74.11649701		919	
1	22	122.0266447		883.7632525		163.7632525		2259.32438		99.32438047		3777.763147		177.7631466		5154.808905		114.8089046		6608.792711		128.7927109		0.474947358		0.3916027		0.5515868		0.557922201		0.291023717		0.500365423		0.565729109		0.541534358		0.529325801		0.518588901		0.425647832		0.438541029		0.439479033		0.4365056		0.428927116		0.433633458		0.427000005		0.434437926		0.423968841		0.423601811		0.473452579		0.467394605		0.474558425		0.463279302		0.46211472		0.508892708		0.504889411		0.503860834		0.504782348		3.833333333		3.604166667		4.020833333		3.416666667		3.645833333		3.833333333		3.604166667		4.020833333		3.416666667		3.645833333		4.702913932		0.043137747		0.174122237		1.698790784		0.136848387		1.587163347		8.206128047		63.63127483		884	
1	23	131.4583146		840.0538824		120.0538824		2286.264208		126.2642082		3839.333947		239.3339468		5142.372591		102.3725908		6700.849387		220.8493872		0.499974044		0.417536059		0.567041512		0.57395591		0.300507424		0.528675522		0.595699171		0.562827137		0.553611414		0.534955916		0.459417891		0.458665136		0.461575273		0.447957654		0.452764699		0.456936024		0.44985913		0.459452141		0.461360963		0.453363674		0.478334518		0.469740962		0.471482515		0.483354986		0.474037951		0.514470674		0.512571318		0.508598422		0.518335147		3.645833333		3.5625		4.208333333		3.583333333		4.083333333		3.645833333		3.5625		4.208333333		3.583333333		4.083333333		5.327550527		0.059861943		0.327662567		1.556188965		0.154682585		2.322453825		9.593717826		72.84769035		911	
1	24	128.4017931		894.1483733		174.1483733		2340.913198		180.9131981		3769.405975		169.405975		5112.88337		72.88337025		6669.004298		189.0042985		0.498002927		0.418962694		0.56734466		0.576843824		0.298181353		0.533327577		0.581123728		0.571328027		0.562913325		0.54398073		0.446749143		0.453601909		0.458275749		0.451855861		0.455267079		0.453884077		0.449441189		0.449766149		0.448057653		0.445093774		0.466956388		0.463042688		0.475344518		0.487659273		0.482871645		0.514732661		0.511631625		0.509211801		0.510870009		4.166666667		3.791666667		4.041666667		3.1875		4		4.166666667		3.791666667		4.041666667		3.1875		4		4.863568641		0.054298031		0.348053868		2.12433822		0.128049289		1.957290186		9.347548946		69.41260151		916	
1	25	103.585204		864.3464578		144.3464578		2332.482268		172.4822676		3720.924259		120.9242587		5204.982069		164.9820686		6558.50831		78.50830967		0.498416292		0.409526586		0.543610432		0.552306973		0.27964024		0.520623535		0.565519419		0.549077977		0.541960276		0.530332063		0.430423893		0.427353318		0.434328441		0.429395902		0.437421311		0.436453922		0.423992264		0.429524553		0.429577136		0.427961779		0.456477611		0.4407082		0.446463917		0.445391513		0.440012345		0.478785792		0.481735198		0.477381032		0.481698644		3.9375		4.125		3.520833333		3.666666667		3.416666667		3.9375		4.125		3.520833333		3.666666667		3.416666667		2.868439792		0.044771122		0.264120189		0.837658729		0.126893512		2.111213138		6.126202971		48.20797699		891	
