Scenario	Replication	([CycleTime].SampleAverage)/1[min]		[TransportToLab].WorkingTime/[TransportToLab].TotalTime		[FillForm].WorkingTime/[FillForm].TotalTime		[TakeX-ray].WorkingTime/[TakeX-ray].TotalTime		[DevelopX-Ray].WorkingTime/[DevelopX-Ray].TotalTime		[Inspection].WorkingTime/[Inspection].TotalTime		[TransportToWard].WorkingTime/[TransportToWard].TotalTime		[MessengerTransfer].WorkingTime/[MessengerTransfer].TotalTime		[Orderly1].WorkingTime/[Orderly1].TotalTime		[Orderly2].WorkingTime/[Orderly2].TotalTime		[Orderly3].WorkingTime/[Orderly3].TotalTime		[X-RayTech1].WorkingTime/[X-RayTech1].TotalTime		[X-RayTech2].WorkingTime/[X-RayTech2].TotalTime		[X-RayTech3].WorkingTime/[X-RayTech3].TotalTime		[X-RayRoom1].WorkingTime/[X-RayRoom1].TotalTime		[X-RayRoom2].WorkingTime/[X-RayRoom2].TotalTime		[DRTech1].WorkingTime/[DRTech1].TotalTime		[DRTech2].WorkingTime/[DRTech2].TotalTime		[DarkRoom1].WorkingTime/[DarkRoom1].TotalTime		[InMonday].SampleAverage		[InTuesday].SampleAverage		[InWednesday].SampleAverage		[InThursday].SampleAverage		[InFriday].SampleAverage		[OutMonday].SampleAverage		[OutTuesday].SampleAverage		[OutWednesday].SampleAverage		[OutThursday].SampleAverage		[OutFriday].SampleAverage		[TransportLabQueue].QueueLengthAverage		[WaitingArea].QueueLengthAverage		[WaitingX-Ray].QueueLengthAverage		[WaitingDevelop].QueueLengthAverage		[InspectionQueue].QueueLengthAverage		[ReturnQueue].QueueLengthAverage		[PatientWardQueue].QueueLengthAverage		[AvgQueueLength].Value		([TransportLabQueue].AverageQueueTime+[WaitingArea].AverageQueueTime+[WaitingX-Ray].AverageQueueTime+[WaitingDevelop].AverageQueueTime+[InspectionQueue].AverageQueueTime+[ReturnQueue].AverageQueueTime+[PatientWardQueue].AverageQueueTime)/1[min]		[PatientEnterPhysiciansOffice].NumberAdded/2	
1	11	345.32213719494206		0.6790328537638889		0.44881593711111106		0.8916505080393518		0.9867148642847221		0.15726838951157407		0.45755407521759256		0.06162808970138889		0.9023786873194444		0.8409544553287037		0.7977468898379629		0.9986116711388888		0.9978163937731481		0.9981900861064814		0.6644024067037037		0.6591914520717592		0.5696493183240741		0.5762286307986111		0.9867148642847221		3.604166666666675		4.145833333333342		3.8333333333333433		4.145833333333342		4.06250000000001		1.6770833333333366		1.8854166666666714		1.8854166666666714		1.5729166666666692		1.9895833333333388		28.10011644466895		74.07773256588662		0.6509096561759254		189.54522945381242		0.22463506009722167		0.0676284196481477		1.8019625951458336		294.2435791353379		2253.8031394168775		430.0	
1	12	316.7459247969048		0.6333109384143518		0.44488008466203705		0.9001927916296295		0.9812964978263888		0.15420582215277776		0.4883966876851852		0.06373938279166666		0.8859759072268518		0.8204744695115741		0.7469000357986111		0.9980467020439815		0.9973800511041666		0.9977489723703704		0.6611662216921296		0.6782076514537038		0.5741766527546296		0.5624698979189815		0.9812964978263888		3.7500000000000093		3.5833333333333415		3.354166666666673		3.8541666666666767		4.020833333333344		1.6770833333333366		1.8854166666666714		1.9895833333333388		1.9895833333333388		1.9895833333333388		22.585077012351878		49.86355570368284		0.642817007337964		178.59101715519685		0.23125714916898377		0.06474266014583455		1.7381967241805563		253.48540626289594		2007.7103973489802		455.0	
1	13	278.1742805640146		0.6453322112291667		0.44519461074074074		0.8905983657245371		0.987235236912037		0.15177114078935183		0.4766784406435185		0.062041755416666663		0.8919542143333333		0.837345031886574		0.774719769798611		0.997126473462963		0.9973134336226851		0.9966773300648147		0.6718776835023147		0.655777024		0.5863659098773147		0.5535183508495369		0.987235236912037		3.770833333333343		3.958333333333344		4.125000000000009		3.4583333333333406		4.000000000000011		1.5729166666666692		2.197916666666669		1.781250000000004		1.781250000000004		1.8854166666666714		25.22373429736805		68.22176446829155		0.8002140078680567		188.48108533490515		0.2423425519745371		0.07231979706944384		1.6852838586134296		284.4844017641157		2189.86868803889		440.0	
1	14	268.8742014027647		0.6156889677754629		0.4433719390277778		0.9006548690810184		0.9816786466643518		0.15768524803472223		0.45458278233564814		0.06073759363194444		0.8676235235324075		0.8011492091689815		0.7308964952662036		0.9978226816875		0.9969067655462963		0.9972371733449074		0.6643220753472222		0.6664750402129629		0.5669434463148147		0.5760270325902778		0.9816786466643518		3.8333333333333433		3.9375000000000107		3.479166666666674		3.4166666666666736		3.687500000000009		1.6770833333333366		1.8854166666666714		1.9895833333333388		1.781250000000004		1.5729166666666692		23.89551047260417		66.56848992007407		0.8006342383148134		177.49504833969218		0.24921287398148215		0.05613770284490781		1.7932008144953704		270.6090214880255		2129.165353661345		425.0	
1	15	308.3056714163601		0.6296291396319444		0.44323613791666666		0.8997962434027778		0.9847089714467592		0.15689858444907406		0.46283175190046294		0.05969449657175926		0.8752262803124999		0.8132228462453703		0.7447480729074074		0.9982505583888889		0.997841504375		0.998144392324074		0.6625026567083334		0.6716604979328703		0.5850244689560185		0.5583348708981482		0.9847089714467592		4.187500000000008		3.8125000000000098		3.312500000000006		3.520833333333341		3.479166666666674		1.6770833333333366		1.781250000000004		1.8854166666666714		1.9895833333333388		1.781250000000004		20.884736830375015		72.63543912484715		0.8466548229861102		183.57097108171283		0.22974561040046454		0.05788694751157324		1.7731726996921298		279.7688615071248		2222.0145780568414		435.0	
1	16	253.28283550790175		0.6442716137893518		0.43907987158564815		0.8796335258958333		0.9875393217060184		0.15092071180324074		0.45999171849768516		0.06536868259490741		0.8776426222037037		0.8142991903472222		0.7490194864305556		0.9979590110092591		0.9980491186412037		0.9975527939861111		0.662049134025463		0.6650957400208334		0.5727956831898148		0.5673342237060185		0.9875393217060184		4.06250000000001		3.437500000000007		4.291666666666673		3.5000000000000075		3.479166666666674		1.781250000000004		1.6770833333333366		1.781250000000004		1.8854166666666714		1.781250000000004		24.41866561179396		68.32908633491431		0.7737162447500001		193.96185168661333		0.21441027525925946		0.0495908007291669		1.7913975989027768		289.32430827770355		2248.7874193889656		425.0	
1	17	310.8589926645438		0.6238052599351851		0.44772090437962964		0.9083760700138889		0.985841213824074		0.14501604919907407		0.44761076352777773		0.05976889044675925		0.8714446790185184		0.7953200684027777		0.7451121239999999		0.9984502992291666		0.9976613415949074		0.9977065207337962		0.6672500300393518		0.6786578305393519		0.5665949438611111		0.5664281253310185		0.985841213824074		3.645833333333342		3.645833333333342		3.87500000000001		3.6666666666666754		3.6250000000000084		1.781250000000004		1.781250000000004		1.781250000000004		1.6770833333333366		1.781250000000004		22.092741284791643		59.250866926159695		0.668140867969908		185.95118604609235		0.21862183300462842		0.05315518175925848		1.7636187568611112		269.77970906363396		2108.4083838871943		420.0	
1	18	333.1364000310025		0.6727418240833333		0.4467582565555555		0.8859173398958333		0.9828030979212963		0.15901619174537038		0.48022010080324073		0.0655294575		0.902798115849537		0.8437516028194444		0.8002305112337963		0.9981178998263888		0.9983043119999999		0.9979462148912036		0.6541125623657408		0.6682684481226852		0.5587190264560185		0.5843469145069444		0.9828030979212963		3.8541666666666767		4.06250000000001		3.520833333333341		4.291666666666673		4.020833333333344		1.781250000000004		1.9895833333333388		1.8854166666666714		1.8854166666666714		1.9687500000000053		27.785548099618115		77.83827438872223		0.7151603227106491		175.1557025422083		0.22465360128472212		0.07228499074999908		1.7443062109768501		283.31127655498614		2175.1121770900745		454.0	
1	19	265.7490926336594		0.6468256896967592		0.45390155891435185		0.8773158279814814		0.9879918593171295		0.15262041467824072		0.48807921660648146		0.06322120425694444		0.893659625648148		0.8255388539722222		0.7645598149351852		0.9956003757824073		0.9972534612476852		0.9970857997870369		0.6450412857824075		0.6623303097986111		0.5651324251712962		0.5763395079074074		0.9879918593171295		3.3750000000000067		3.770833333333343		4.020833333333344		3.8541666666666767		3.9791666666666776		1.781250000000004		1.781250000000004		2.093750000000004		2.093750000000004		1.8854166666666714		23.844386628168976		47.127096405444505		0.7082718783842589		184.75500398708576		0.22694317572685124		0.064576042023148		1.785889174430554		258.2852241155372		2008.1419314828538		460.0	
1	20	322.2948759565172		0.6363337535393518		0.43295691128009256		0.8851223845810186		0.9850309399097222		0.1492241999375		0.4808506280162037		0.06031029290046296		0.8803462833194443		0.8167419354027777		0.7449626858055556		0.9971104808680554		0.9975076732777777		0.9971063325717592		0.6703181815347222		0.6706399938032407		0.5678471651643519		0.5684360771712963		0.9850309399097222		3.1458333333333384		4.020833333333344		3.8541666666666767		3.8958333333333437		3.604166666666675		1.8854166666666714		1.5729166666666692		2.093750000000004		1.8854166666666714		1.8854166666666714		22.135601646659737		60.61939468143044		0.7815413073657417		168.9465202457061		0.2570891122847232		0.062116768243055925		1.824933885164352		254.37010853456943		2015.865562903275		445.0	
1	21	297.8943202449997		0.6630386589768519		0.445965458324074		0.9007871343310184		0.9865673417476851		0.1438400643148148		0.46343174614814814		0.060016244807870364		0.8908543931226851		0.8203551604560184		0.769402579150463		0.9977970679166666		0.9985894257546296		0.9981003937777777		0.6749516248657407		0.6704199541111111		0.5456069989629629		0.5852436707430555		0.9865673417476851		4.125000000000009		3.6666666666666754		3.4166666666666736		3.687500000000009		4.354166666666672		1.6770833333333366		1.9895833333333388		1.781250000000004		1.781250000000004		1.6770833333333366		27.04575671601618		71.36490319359493		0.6962965318217578		180.7382377416669		0.25697490178935095		0.04728037081944445		1.7523210623449106		281.6447956162641		2170.875706916612		425.0	
1	22	265.19480801282754		0.6433428179699073		0.45654115264120365		0.8908606289097222		0.9834046528680556		0.15232609812037037		0.46909210675462965		0.06456092474768518		0.8832526790763888		0.7971763959560184		0.7402514603564814		0.9976333365694444		0.9982298643356482		0.9974315806805555		0.6686224981898148		0.6538400943634259		0.5683663762060185		0.5697715754189814		0.9834046528680556		3.8333333333333433		3.604166666666675		4.020833333333344		3.4166666666666736		3.645833333333342		1.781250000000004		1.8854166666666714		1.8854166666666714		1.9895833333333388		1.781250000000004		24.045505646821738		57.569485183034736		0.6738744401111112		183.0243501192154		0.20548572184490782		0.05719958617592699		1.764828097222223		267.13524307258115		2084.393895787565		445.0	
1	23	308.2486951876472		0.6518697291597222		0.4244287141550926		0.8897747301296296		0.9861766395694445		0.15262947369907406		0.4664416452106481		0.06008243821064815		0.9012404280023147		0.8156534637083332		0.7678152271666667		0.9982249782592592		0.9967393514328703		0.9975700421342593		0.6724705534444445		0.6789362699999999		0.5683958611921296		0.5722844292384259		0.9861766395694445		3.645833333333342		3.562500000000008		4.208333333333341		3.5833333333333415		4.083333333333343		1.6770833333333366		1.781250000000004		1.781250000000004		1.8854166666666714		1.781250000000004		25.742962921553236		73.06048709775459		0.755780291703705		176.78148028382884		0.22332134899537015		0.05548646449536938		1.7642426977962977		278.16043975713205		2187.22342016184		425.0	
1	24	303.8672837119101		0.6589683113263888		0.4312482302037037		0.8957423872708332		0.9827134578935185		0.15998820076157405		0.4772314655254629		0.05977165302546296		0.8900546875810185		0.832444105611111		0.7722013119930555		0.9976277257685185		0.9975623697638889		0.9966738060833332		0.6713710296157407		0.6670537421736111		0.5756230148472222		0.5696361783425925		0.9827134578935185		4.166666666666675		3.7916666666666763		4.041666666666677		3.1875000000000053		4.000000000000011		1.781250000000004		2.093750000000004		1.8854166666666714		1.781250000000004		1.781250000000004		24.84362916793287		91.6799457314815		0.8274713983842582		162.49918814890276		0.2569241188055551		0.055675357446759756		1.7520512206527756		281.65796102480095		2230.482516020515		445.0	
1	25	338.14894885796485		0.6427629191828703		0.4291459755648148		0.901108166349537		0.9877165920277777		0.15099322222685183		0.47250636605092594		0.06024658327777778		0.8903432675624999		0.8180196460416667		0.7597788337384259		0.9987374620439814		0.9986128304351851		0.9972062289259259		0.6800968571226851		0.6711314440995371		0.5774999009143519		0.5629043992199074		0.9877165920277777		3.9375000000000107		4.125000000000009		3.520833333333341		3.6666666666666754		3.4166666666666736		1.5729166666666692		2.072916666666671		1.8020833333333375		1.781250000000004		1.781250000000004		22.023923412712943		87.68963454911581		0.7372358054282406		174.31948770309722		0.25000272578703664		0.05612432115740713		1.791257652631942		286.6176634441436		2268.4421244591817		430.0	
1	26	286.70759552779623		0.636568454548611		0.44237168255555553		0.8973973078194444		0.9831331418263889		0.1600864234814815		0.4795896593657407		0.06242102203472222		0.8690243107453702		0.8038556700416666		0.7410702469050926		0.9964026647777778		0.9971677834907406		0.9970501658680555		0.6609976146550927		0.6692103613680555		0.5753128305625		0.5692606565601852		0.9831331418263889		3.8541666666666767		3.7500000000000093		3.6250000000000084		3.39583333333334		3.87500000000001		1.8854166666666714		1.8854166666666714		1.9895833333333388		1.781250000000004		1.8854166666666714		22.93168702033566		62.15777270313425		0.7323371922152786		170.04405178773837		0.2259041991203697		0.056312691854166555		1.7614662288055563		257.6836276240833		2033.4123643421858		450.0	
1	27	319.91294363527453		0.6814160408078704		0.42584591156018514		0.8843085972523148		0.984549274386574		0.15440753977546295		0.4539003561921296		0.06166757586805555		0.9019632993634259		0.8430833364953704		0.7883369805046296		0.9986635066782408		0.9981397731597221		0.9978625218287036		0.6666890802083333		0.6771847831064814		0.5754701075046297		0.5653182831643518		0.984549274386574		3.4166666666666736		4.333333333333339		4.020833333333344		3.87500000000001		4.041666666666677		1.5729166666666692		1.781250000000004		1.781250000000004		1.6770833333333366		2.093750000000004		27.444188100745396		82.89388845645138		0.763304143606482		188.11070963281244		0.2984704856666672		0.05837450974074064		1.7025726020694456		300.9730374454259		2313.0276239265877		425.0	
1	28	288.86075396592577		0.6301096368888889		0.44128730895833335		0.8920622633703703		0.9806840535949074		0.16774737897685185		0.4764111288634259		0.06221207411342593		0.8749936610486111		0.8131301097962962		0.7426590666597221		0.9971467906712962		0.9971138599490741		0.9969340909652777		0.6604436152430555		0.6628389872662037		0.578300797037037		0.5733787005949074		0.9806840535949074		3.604166666666675		3.562500000000008		3.7500000000000093		3.8333333333333433		3.729166666666676		1.8854166666666714		1.781250000000004		2.093750000000004		1.781250000000004		1.8854166666666714		23.09719932480098		59.26507841968056		0.7321995925671312		167.39450794631233		0.2178092702407398		0.059635296252314444		1.8568715516041678		252.40549213121747		1989.2150545506402		450.0	
