Scenario	Replication	[CycleTime].SampleAverage/1[min]		[LastPatientMonday].SampleAverage		Overtime		[LastPatientTuesday].SampleAverage				[LastPatientWednesday].SampleAverage				[LastPatientThursday].SampleAverage				[LastPatientFriday].SampleAverage				[TransportToLab].WorkingTime/[TransportToLab].TotalTime		[FillForm].WorkingTime/[FillForm].TotalTime		[TakeX-ray].WorkingTime/[TakeX-ray].TotalTime		[Inspection].WorkingTime/[Inspection].TotalTime		[TransportToWard].WorkingTime/[TransportToWard].TotalTime		[Orderly1].WorkingTime/[Orderly1].TotalTime		[Orderly2].WorkingTime/[Orderly2].TotalTime		[Orderly3].WorkingTime/[Orderly3].TotalTime		[Orderly4].WorkingTime/[Orderly4].TotalTime		[X-RayTech1].WorkingTime/[X-RayTech1].TotalTime		[X-RayTech2].WorkingTime/[X-RayTech2].TotalTime		[X-RayTech3].WorkingTime/[X-RayTech3].TotalTime		[X-RayTech4].WorkingTime/[X-RayTech4].TotalTime		[X-RayTech5].WorkingTime/[X-RayTech5].TotalTime		[X-RayRoom1].WorkingTime/[X-RayRoom1].TotalTime		[X-RayRoom2].WorkingTime/[X-RayRoom2].TotalTime		[X-RayRoom3].WorkingTime/[X-RayRoom3].TotalTime		[InMonday].SampleAverage		[InTuesday].SampleAverage		[InWednesday].SampleAverage		[InThursday].SampleAverage		[InFriday].SampleAverage		[OutMonday].SampleAverage		[OutTuesday].SampleAverage		[OutWednesday].SampleAverage		[OutThursday].SampleAverage		[OutFriday].SampleAverage		[TransportLabQueue].QueueLengthAverage		[WaitingArea].QueueLengthAverage		[WaitingX-Ray].QueueLengthAverage		[InspectionQueue].QueueLengthAverage		[ReturnQueue].QueueLengthAverage		[AvgQueueLength].Value		([TransportLabQueue].AverageQueueTime+[WaitingArea].AverageQueueTime+[WaitingX-Ray].AverageQueueTime+[InspectionQueue].AverageQueueTime+[ReturnQueue].AverageQueueTime)/1[min]		[PatientEnterPhysiciansOffice].NumberAdded	
1	27	93.0361944		814.8817496		94.8817496		2343.754954		183.7549537		3710.544918		110.5449179		5139.552779		99.55277893		6642.094613		162.0946125		0.510441472		0.438360521		0.562357432		0.237297218		0.529911299		0.565790886		0.558233404		0.551469837		0.541014082		0.476314134		0.479524768		0.470280464		0.478581861		0.48428728		0.506103001		0.495606043		0.49905096		3.416666667		4.333333333		4.020833333		3.875		4.041666667		3.416666667		4.333333333		4.020833333		3.875		4.041666667		4.386306227		0.073531279		0.649695434		0.061034582		2.453170634		7.562703574		57.82892383		940	
1	28	78.63842074		770.4744137		50.47441373		2227.425039		67.42503912		3677.583925		77.58392525		5125.147518		85.14751838		6565.697783		85.69778252		0.481101713		0.407269034		0.523680255		0.226888551		0.494106535		0.533594614		0.529711295		0.525674046		0.508225617		0.449177057		0.438047029		0.44136807		0.449021081		0.442439043		0.4585665		0.462079421		0.460397147		3.604166667		3.5625		3.75		3.833333333		3.729166667		3.604166667		3.5625		3.75		3.833333333		3.729166667		3.281306501		0.06107307		0.336311339		0.054552561		1.656508458		5.335199367		43.72052052		882	
1	29	86.09662016		784.865985		64.86598497		2269.26659		109.2665895		3770.370969		170.3709692		5094.386592		54.3865916		6531.163338		51.16333753		0.472606369		0.400181958		0.524247955		0.213010593		0.494588241		0.528912902		0.517940237		0.512582144		0.474312607		0.436153071		0.425829025		0.431839186		0.433965144		0.43687662		0.453569674		0.455940305		0.456394878		3.458333333		3.645833333		4.208333333		2.875		3.729166667		3.458333333		3.645833333		4.208333333		2.875		3.729166667		3.700678758		0.054627778		0.650667204		0.051958265		1.653925612		6.059899352		50.92181436		855	
1	30	97.71926244		864.4851369		144.4851369		2230.695308		70.69530848		3777.783086		177.7830864		5120.079991		80.07999068		6662.632766		182.6327664		0.5121501		0.431735409		0.567378022		0.241183304		0.53003599		0.56993599		0.562184849		0.553276179		0.545895259		0.474371907		0.482061168		0.486690085		0.47813058		0.478793717		0.500895543		0.509714244		0.50283244		4.041666667		3.791666667		4.1875		3.5		4.291666667		4.041666667		3.791666667		4.1875		3.5		4.291666667		5.732373799		0.06158299		0.550184888		0.060222034		1.880811685		8.224953362		62.55486662		946	
1	31	95.00722588		790.3180602		70.31806015		2269.833387		109.8333866		3791.182611		191.182611		5175.23199		135.2319896		6530.799769		50.79976903		0.501908913		0.415259772		0.542248256		0.217642335		0.515881183		0.554403488		0.542101813		0.534040842		0.518955206		0.463787283		0.452862155		0.456271316		0.447539278		0.444107878		0.474505004		0.480804798		0.47899317		3.291666667		3.75		4.1875		4		3.583333333		3.291666667		3.75		4.1875		4		3.583333333		4.962090191		0.060913859		0.639936909		0.05369422		1.796780817		7.459721776		59.74484448		898	
1	32	83.9178745		798.7184443		78.71844432		2243.575281		83.57528102		3772.1703		172.1702997		5171.354818		131.3548183		6562.361014		82.36101412		0.505588616		0.429147488		0.545136265		0.225457841		0.526422359		0.548717585		0.556087975		0.540536501		0.535374768		0.460990936		0.462677923		0.463011058		0.46533924		0.46370389		0.487456102		0.487732245		0.489597093		3.541666667		3.5625		4.375		4.020833333		3.6875		3.541666667		3.5625		4.375		4.020833333		3.6875		3.632971417		0.062644386		0.653879136		0.053097568		1.858634707		6.208129646		48.6927132		916	
1	33	88.86514478		807.6480455		87.64804547		2265.676014		105.6760138		3711.409551		111.4095509		5099.33412		59.33412003		6641.162083		161.1620826		0.49865751		0.427028351		0.542868014		0.231939902		0.515863719		0.559563064		0.54938111		0.54860027		0.537425597		0.472418611		0.459687518		0.466433201		0.457191359		0.468996212		0.48648846		0.489136941		0.488526982		3.770833333		3.979166667		3.9375		3.416666667		4.1875		3.770833333		3.979166667		3.9375		3.416666667		4.1875		3.930565133		0.07720273		0.775342795		0.059941531		2.089505503		6.87261616		53.59699367		921	
1	34	79.27602844		771.978192		51.97819203		2242.944699		82.94469928		3674.89919		74.89918973		5099.223948		59.22394825		6610.264313		130.2643129		0.485485128		0.414316496		0.52673473		0.21901651		0.501696855		0.534051483		0.536277793		0.518570932		0.515371049		0.45125031		0.456973088		0.447804062		0.455417108		0.450252609		0.477629114		0.475404746		0.480162647		3.416666667		3.833333333		3.75		3.645833333		3.833333333		3.416666667		3.833333333		3.75		3.645833333		3.833333333		3.131957669		0.063153816		0.697070915		0.060092398		1.477288307		5.369470707		43.6375793		882	
1	35	93.17290139		787.5714011		67.5714011		2321.08149		161.0814905		3656.758333		56.75833303		5144.344107		104.3441071		6632.562895		152.5628955		0.499448055		0.42414188		0.543884235		0.22483075		0.516020091		0.554643168		0.543125796		0.539142937		0.538648615		0.464027829		0.472162517		0.464661722		0.466484948		0.466818432		0.497165791		0.492567602		0.491041748		3.541666667		4.125		3.333333333		3.958333333		4.229166667		3.541666667		4.125		3.333333333		3.958333333		4.229166667		4.983833069		0.081229113		0.698508074		0.071447694		1.591072709		7.354642965		57.75927974		916	
1	36	85.59590391		835.053656		115.053656		2278.793634		118.793634		3706.612887		106.6128873		5140.60308		100.6030802		6687.069888		207.0698879		0.498969404		0.420941362		0.562978101		0.243706336		0.515358586		0.561931263		0.552172315		0.527316605		0.52747785		0.471631362		0.470611135		0.473409692		0.469429133		0.472737966		0.498193605		0.495022823		0.49714246		3.8125		3.5625		3.666666667		3.625		4.229166667		3.8125		3.5625		3.666666667		3.625		4.229166667		3.679655345		0.065339692		0.964710969		0.059715294		1.521763739		6.231469745		49.19473879		902	
