Scenario	Replication	([CycleTime].SampleAverage)/1[min]		[TransportToLab].WorkingTime/[TransportToLab].TotalTime		[FillForm].WorkingTime/[FillForm].TotalTime		[TakeX-ray].WorkingTime/[TakeX-ray].TotalTime		[DevelopX-Ray].WorkingTime/[DevelopX-Ray].TotalTime		[Inspection].WorkingTime/[Inspection].TotalTime		[TransportToWard].WorkingTime/[TransportToWard].TotalTime		[Orderly1].WorkingTime/[Orderly1].TotalTime		[Orderly2].WorkingTime/[Orderly2].TotalTime		[Orderly3].WorkingTime/[Orderly3].TotalTime		[X-RayTech1].WorkingTime/[X-RayTech1].TotalTime		[X-RayTech2].WorkingTime/[X-RayTech2].TotalTime		[X-RayTech3].WorkingTime/[X-RayTech3].TotalTime		[X-RayRoom1].WorkingTime/[X-RayRoom1].TotalTime		[X-RayRoom2].WorkingTime/[X-RayRoom2].TotalTime		[DRTech1].WorkingTime/[DRTech1].TotalTime		[DRTech2].WorkingTime/[DRTech2].TotalTime		[DarkRoom1].WorkingTime/[DarkRoom1].TotalTime		[InMonday].SampleAverage		[InTuesday].SampleAverage		[InWednesday].SampleAverage		[InThursday].SampleAverage		[InFriday].SampleAverage		[OutMonday].SampleAverage		[OutTuesday].SampleAverage		[OutWednesday].SampleAverage		[OutThursday].SampleAverage		[OutFriday].SampleAverage		[TransportLabQueue].QueueLengthAverage		[WaitingArea].QueueLengthAverage		[WaitingX-Ray].QueueLengthAverage		[WaitingDevelop].QueueLengthAverage		[InspectionQueue].QueueLengthAverage		[ReturnQueue].QueueLengthAverage		[AvgQueueLength].Value		([TransportLabQueue].AverageQueueTime+[WaitingArea].AverageQueueTime+[WaitingX-Ray].AverageQueueTime+[WaitingDevelop].AverageQueueTime+[InspectionQueue].AverageQueueTime+[ReturnQueue].AverageQueueTime)/1[min]		[PatientEnterPhysiciansOffice].NumberAdded	
1	17	1326.342267		0.629991347		0.53911624		0.796080313		0.997205883		0.148452191		0.479071978		0.88594421		0.797478317		0.736962807		0.721381609		0.723432062		0.727146297		0.71892241		0.732863161		0.575668128		0.569989947		0.997205883		3.645833333		3.645833333		3.875		3.666666667		3.625		1.729166667		1.916666667		1.9375		1.791666667		2.0625		21.202644		0.235482014		1.522795297		238.941006		0.076575355		0.061975924		261.9639032		1872.866512		448	
1	18	904.3633076		0.677924051		0.580379769		0.845533786		0.996945677		0.162714023		0.463261809		0.909583686		0.844295244		0.792456048		0.774799747		0.784126039		0.783547953		0.786733517		0.777898759		0.582487166		0.577172533		0.996945677		3.854166667		4.0625		3.520833333		4.291666667		4.020833333		1.958333333		1.9375		1.708333333		1.625		1.979166667		28.3693027		0.279826645		1.955520453		255.5593401		0.088004146		0.063472389		286.2274623		1894.21797		437	
1	19	900.5488287		0.644708613		0.559353216		0.808910638		0.996497936		0.154551305		0.464570465		0.886930025		0.816479826		0.755835038		0.740068641		0.748556722		0.738547262		0.738336442		0.740904409		0.573698737		0.577350503		0.996497936		3.375		3.770833333		4.020833333		3.854166667		3.979166667		1.770833333		1.645833333		1.8125		1.979166667		1.854166667		23.49768441		0.238934244		1.297322553		246.0354015		0.074726837		0.056288046		271.1256307		1867.111799		430	
1	20	1087.034253		0.649389402		0.541471938		0.81714343		0.996653421		0.153004365		0.485701201		0.882867001		0.824198485		0.741863022		0.743788995		0.744172892		0.73287294		0.746761736		0.747321816		0.578943369		0.570714417		0.996653421		3.145833333		4.020833333		3.854166667		3.895833333		3.604166667		2		1.791666667		1.833333333		1.916666667		1.854166667		22.82653866		0.205460375		1.848091848		224.5251519		0.075213818		0.053540261		249.458783		1764.131245		446	
1	21	971.8115215		0.654321422		0.557034067		0.824939519		0.996038809		0.145860627		0.470722811		0.901757811		0.831298567		0.774208817		0.744232039		0.755203913		0.752281293		0.755677095		0.756312264		0.566292488		0.575606949		0.996038809		4.125		3.666666667		3.416666667		3.6875		4.354166667		1.916666667		1.958333333		1.6875		2.020833333		1.6875		26.23120044		0.221473353		1.160075112		245.9636121		0.092179934		0.059354158		273.6357152		1872.224711		440	
1	22	1051.084457		0.632576437		0.545130222		0.797336075		0.99612177		0.156050383		0.471380747		0.869793387		0.798153154		0.735812825		0.718867364		0.730708984		0.729330209		0.726094397		0.721131564		0.576742576		0.575708634		0.99612177		3.833333333		3.604166667		4.020833333		3.416666667		3.645833333		1.729166667		1.9375		1.916666667		1.875		1.729166667		23.21017613		0.234555053		1.164943545		244.9898456		0.078761837		0.067420945		269.6669413		1898.810023		436	
1	23	1182.674525		0.653411408		0.569555888		0.843710496		0.997315026		0.156211502		0.473551542		0.897005574		0.818524246		0.761509932		0.774301081		0.772811405		0.776031351		0.789229163		0.787397772		0.575209739		0.57831679		0.997315026		3.645833333		3.5625		4.208333333		3.583333333		4.083333333		1.666666667		1.895833333		1.916666667		1.75		1.895833333		25.23240862		0.280831595		3.231577984		245.6130547		0.081782033		0.057909478		274.4157823		1874.936305		433	
1	24	1137.140326		0.650669706		0.569897751		0.839505934		0.995756247		0.165829634		0.477755557		0.898210088		0.831905873		0.768930995		0.781489517		0.775969428		0.760617992		0.78288034		0.771520324		0.585747792		0.575838089		0.995756247		4.166666667		3.791666667		4.041666667		3.1875		4		1.895833333		2.125		1.708333333		1.666666667		2.125		24.96778303		0.295851157		2.651510407		254.1765722		0.086304509		0.072434592		282.1641514		1945.24913		452	
1	25	1385.974095		0.640158029		0.542781489		0.815157031		0.996600548		0.154223115		0.494552936		0.891826415		0.808240729		0.754307507		0.739388672		0.746016704		0.736084279		0.744021694		0.74837671		0.565338789		0.585484874		0.996600548		3.9375		4.125		3.520833333		3.666666667		3.416666667		1.854166667		1.770833333		2.145833333		1.833333333		2.083333333		22.17461017		0.220173678		1.690048324		249.7087748		0.081897667		0.072432503		273.8660395		1947.293312		460	
1	26	1168.007848		0.633121733		0.547448652		0.808426584		0.995206388		0.163737121		0.462742768		0.886545436		0.803392762		0.742811258		0.742019226		0.744025023		0.738236835		0.743772843		0.745030284		0.571360546		0.587582964		0.995206388		3.854166667		3.75		3.625		3.395833333		3.875		1.854166667		1.895833333		1.958333333		1.770833333		1.875		23.43863706		0.281044945		2.273530108		236.56915		0.085998697		0.067385856		262.6297479		1837.976481		444	
1	27	1187.107109		0.683953366		0.58269679		0.838687435		0.997288806		0.158087562		0.478375907		0.908604726		0.844639638		0.788381869		0.770958634		0.77337079		0.779928499		0.777306137		0.777673793		0.579888186		0.575488183		0.997288806		3.416666667		4.333333333		4.020833333		3.875		4.041666667		1.8125		1.625		1.75		1.979166667		2.229166667		27.06793442		0.253653371		2.007287095		263.2812117		0.087868951		0.064246997		292.6743336		1960.507923		446	
1	28	1124.328509		0.631631861		0.535277463		0.795611956		0.995373861		0.172769622		0.496790015		0.882812453		0.803666193		0.739987936		0.728086163		0.73872366		0.731590622		0.728856663		0.723016725		0.581204049		0.587291559		0.995373861		3.604166667		3.5625		3.75		3.833333333		3.729166667		1.916666667		1.9375		2.041666667		1.979166667		1.9375		22.58996357		0.284330492		1.793918824		218.3595322		0.085458584		0.065066551		243.0928116		1735.174414		466	
1	29	1095.983698		0.617638201		0.527870978		0.799585258		0.996980843		0.150396256		0.450292752		0.86527328		0.771609104		0.709993548		0.724722408		0.714849063		0.71779358		0.733156991		0.71899008		0.571391879		0.57598522		0.996980843		3.458333333		3.645833333		4.208333333		2.875		3.729166667		1.8125		1.645833333		1.895833333		1.791666667		1.8125		21.21818877		0.246822968		1.536314431		233.9868258		0.078304036		0.056105		257.044257		1859.994988		425	
1	30	975.4600071		0.683754072		0.578281354		0.845598008		0.996153115		0.156355579		0.459791688		0.907601105		0.842282863		0.785938377		0.765556222		0.774777503		0.7724548		0.769935057		0.777511164		0.582049331		0.570459363		0.996153115		4.041666667		3.791666667		4.1875		3.5		4.291666667		1.916666667		1.8125		1.75		1.9375		1.604166667		28.52674735		0.231136		1.906307856		264.3976333		0.074808729		0.058347925		295.1201724		1963.863432		428	
1	31	984.3097981		0.654677373		0.55679313		0.821963401		0.996476939		0.149676927		0.46366768		0.891856078		0.820265991		0.755781125		0.749215055		0.745680534		0.744691522		0.755089993		0.756667028		0.565322268		0.580831599		0.996476939		3.291666667		3.75		4.1875		4		3.583333333		1.666666667		1.875		1.895833333		1.75		1.833333333		24.29836482		0.236894126		1.932260651		243.8496318		0.084089742		0.056597429		270.3737489		1868.155467		428	
1	32	1117.041463		0.658368665		0.562494718		0.817336568		0.995744811		0.143092086		0.470236176		0.897653298		0.820267012		0.764721051		0.757312486		0.736649759		0.751065702		0.757329355		0.750703899		0.565401621		0.573435276		0.995744811		3.541666667		3.5625		4.375		4.020833333		3.6875		1.6875		1.854166667		1.770833333		1.791666667		1.958333333		25.49608408		0.221410828		1.821200343		253.7838647		0.083049841		0.062060548		281.3846205		1955.296512		430	
1	33	1140.178167		0.681847397		0.566166873		0.831950438		0.996381943		0.165631057		0.500305238		0.892335239		0.82859491		0.773579579		0.766768213		0.760848224		0.754480073		0.759001268		0.761167407		0.57847414		0.58353886		0.996381943		3.770833333		3.979166667		3.9375		3.416666667		4.1875		2.083333333		1.916666667		1.979166667		1.958333333		2.104166667		27.76705807		0.247250819		1.541224016		231.7476667		0.090074921		0.067854093		261.3710537		1798.233439		477	
1	34	1054.017795		0.64212034		0.542793202		0.808871814		0.996296667		0.152003297		0.467852732		0.875294804		0.804353574		0.742584713		0.715589799		0.74584816		0.732475066		0.735264602		0.730959001		0.571781901		0.576518062		0.996296667		3.416666667		3.833333333		3.75		3.645833333		3.833333333		1.75		1.854166667		1.8125		1.833333333		1.979166667		22.51428851		0.203499303		1.40739596		235.1810962		0.07648891		0.04725267		259.3535326		1840.98698		438	
1	35	1064.560633		0.658600743		0.562132974		0.836115867		0.995998843		0.148750162		0.471517788		0.910795234		0.823848767		0.767747675		0.758946124		0.765564311		0.772186419		0.77322033		0.779237373		0.569357033		0.575391971		0.995998843		3.541666667		4.125		3.333333333		3.958333333		4.229166667		1.75		1.625		1.854166667		2.041666667		1.854166667		26.72858904		0.254645453		2.477606154		249.4990876		0.089400375		0.057927734		279.017856		1904.935724		433	
